Trait	Definition
A3FPl	Relative abundance of species with poly-LacNAc within fucosylated triantennary
A3F0Pl	Relative abundance of species with poly-LacNAc within non-fucosylated triantennary glycans
A3SPl	Relative abundance of species with poly-LacNAc within sialylated triantennary glycans
A3S0Pl	Relative abundance of species with poly-LacNAc within non-sialylated triantennary glycans
A3FSPl	Relative abundance of species with poly-LacNAc within fucosylated sialylated triantennary glycans
A3F0SPl	Relative abundance of species with poly-LacNAc within non-fucosylated sialylated triantennary glycans
A3FS0Pl	Relative abundance of species with poly-LacNAc within fucosylated non-sialylated triantennary glycans
A3F0S0Pl	Relative abundance of species with poly-LacNAc within non-fucosylated non-sialylated triantennary glycans
A3LPl	Relative abundance of species with poly-LacNAc within a2,3-sialylated triantennary glycans
A3L0Pl	Relative abundance of species with poly-LacNAc within non-a2,3-sialylated triantennary glycans
A3FLPl	Relative abundance of species with poly-LacNAc within fucosylated a2,3-sialylated triantennary glycans
A3F0LPl	Relative abundance of species with poly-LacNAc within non-fucosylated a2,3-sialylated triantennary glycans
A3FL0Pl	Relative abundance of species with poly-LacNAc within fucosylated non-a2,3-sialylated triantennary glycans
A3F0L0Pl	Relative abundance of species with poly-LacNAc within non-fucosylated non-a2,3-sialylated triantennary glycans
A3EPl	Relative abundance of species with poly-LacNAc within a2,6-sialylated triantennary glycans
A3E0Pl	Relative abundance of species with poly-LacNAc within non-a2,6-sialylated triantennary glycans
A3FEPl	Relative abundance of species with poly-LacNAc within fucosylated a2,6-sialylated triantennary glycans
A3F0EPl	Relative abundance of species with poly-LacNAc within non-fucosylated a2,6-sialylated triantennary glycans
A3FE0Pl	Relative abundance of species with poly-LacNAc within fucosylated non-a2,6-sialylated triantennary glycans
A3F0E0Pl	Relative abundance of species with poly-LacNAc within non-fucosylated non-a2,6-sialylated triantennary glycans
A4Pl	Relative abundance of species with poly-LacNAc within tetra-antennary glycans
A4FPl	Relative abundance of species with poly-LacNAc within fucosylated tetra-antennary
A4F0Pl	Relative abundance of species with poly-LacNAc within non-fucosylated tetra-antennary glycans
A4SPl	Relative abundance of species with poly-LacNAc within sialylated tetra-antennary glycans
A4S0Pl	Relative abundance of species with poly-LacNAc within non-sialylated tetra-antennary glycans
A4FSPl	Relative abundance of species with poly-LacNAc within fucosylated sialylated tetra-antennary glycans
A4F0SPl	Relative abundance of species with poly-LacNAc within non-fucosylated sialylated tetra-antennary glycans
A4FS0Pl	Relative abundance of species with poly-LacNAc within fucosylated non-sialylated tetra-antennary glycans
A4F0S0Pl	Relative abundance of species with poly-LacNAc within non-fucosylated non-sialylated tetra-antennary glycans
A4LPl	Relative abundance of species with poly-LacNAc within a2,3-sialylated tetra-antennary glycans
A4L0Pl	Relative abundance of species with poly-LacNAc within non-a2,3-sialylated tetra-antennary glycans
A4FLPl	Relative abundance of species with poly-LacNAc within fucosylated a2,3-sialylated tetra-antennary glycans
A4F0LPl	Relative abundance of species with poly-LacNAc within non-fucosylated a2,3-sialylated tetra-antennary glycans
A4FL0Pl	Relative abundance of species with poly-LacNAc within fucosylated non-a2,3-sialylated tetra-antennary glycans
A4F0L0Pl	Relative abundance of species with poly-LacNAc within non-fucosylated non-a2,3-sialylated tetra-antennary glycans
A4EPl	Relative abundance of species with poly-LacNAc within a2,6-sialylated tetra-antennary glycans
A4E0Pl	Relative abundance of species with poly-LacNAc within non-a2,6-sialylated tetra-antennary glycans
A4FEPl	Relative abundance of species with poly-LacNAc within fucosylated a2,6-sialylated tetra-antennary glycans
A4F0EPl	Relative abundance of species with poly-LacNAc within non-fucosylated a2,6-sialylated tetra-antennary glycans
A4FE0Pl	Relative abundance of species with poly-LacNAc within fucosylated non-a2,6-sialylated tetra-antennary glycans
A4F0E0Pl	Relative abundance of species with poly-LacNAc within non-fucosylated non-a2,6-sialylated tetra-antennary glycans
