Trait	Definition
A2F0LB	Relative abundance of species with a bisecting GlcNAc within non-fucosylated a2,3-sialylated diantennary glycans
A2FL0B	Relative abundance of species with a bisecting GlcNAc within fucosylated non-a2,3-sialylated diantennary glycans
A2F0L0B	Relative abundance of species with a bisecting GlcNAc within non-fucosylated non-a2,3-sialylated diantennary glycans
A2EB	Relative abundance of species with a bisecting GlcNAc within a2,6-sialylated diantennary glycans
A2E0B	Relative abundance of species with a bisecting GlcNAc within non-a2,6-sialylated diantennary glycans
A2FEB	Relative abundance of species with a bisecting GlcNAc within fucosylated a2,6-sialylated diantennary glycans
A2F0EB	Relative abundance of species with a bisecting GlcNAc within non-fucosylated a2,6-sialylated diantennary glycans
A2FE0B	Relative abundance of species with a bisecting GlcNAc within fucosylated non-a2,6-sialylated diantennary glycans
A2F0E0B	Relative abundance of species with a bisecting GlcNAc within non-fucosylated non-a2,6-sialylated diantennary glycans
A3B	Relative abundance of species with a bisecting GlcNAc within triantennary glycans
A3FB	Relative abundance of species with a bisecting GlcNAc within fucosylated triantennary glycans
A3F0B	Relative abundance of species with a bisecting GlcNAc within non-fucosylated triantennary glycans
A3SB	Relative abundance of species with a bisecting GlcNAc within sialylated triantennary glycans
A3S0B	Relative abundance of species with a bisecting GlcNAc within non-sialylated triantennary glycans
A3FSB	Relative abundance of species with a bisecting GlcNAc within fucosylated sialylated triantennary glycans
A3F0SB	Relative abundance of species with a bisecting GlcNAc within non-fucosylated sialylated triantennary glycans
A3FS0B	Relative abundance of species with a bisecting GlcNAc within fucosylated non-sialylated triantennary glycans
A3F0S0B	Relative abundance of species with a bisecting GlcNAc within non-fucosylated non-sialylated triantennary glycans
A3LB	Relative abundance of species with a bisecting GlcNAc within a2,3-sialylated triantennary glycans
A3L0B	Relative abundance of species with a bisecting GlcNAc within non-a2,3-sialylated triantennary glycans
A3FLB	Relative abundance of species with a bisecting GlcNAc within fucosylated a2,3-sialylated triantennary glycans
A3F0LB	Relative abundance of species with a bisecting GlcNAc within non-fucosylated a2,3-sialylated triantennary glycans
A3FL0B	Relative abundance of species with a bisecting GlcNAc within fucosylated non-a2,3-sialylated triantennary glycans
A3F0L0B	Relative abundance of species with a bisecting GlcNAc within non-fucosylated non-a2,3-sialylated triantennary glycans
A3EB	Relative abundance of species with a bisecting GlcNAc within a2,6-sialylated triantennary glycans
A3E0B	Relative abundance of species with a bisecting GlcNAc within non-a2,6-sialylated triantennary glycans
A3FEB	Relative abundance of species with a bisecting GlcNAc within fucosylated a2,6-sialylated triantennary glycans
A3F0EB	Relative abundance of species with a bisecting GlcNAc within non-fucosylated a2,6-sialylated triantennary glycans
A3FE0B	Relative abundance of species with a bisecting GlcNAc within fucosylated non-a2,6-sialylated triantennary glycans
A3F0E0B	Relative abundance of species with a bisecting GlcNAc within non-fucosylated non-a2,6-sialylated triantennary glycans
A4B	Relative abundance of species with a bisecting GlcNAc within tetra-antennary glycans
A4FB	Relative abundance of species with a bisecting GlcNAc within fucosylated tetra-antennary glycans
A4F0B	Relative abundance of species with a bisecting GlcNAc within non-fucosylated tetra-antennary glycans
A4SB	Relative abundance of species with a bisecting GlcNAc within sialylated tetra-antennary glycans
A4S0B	Relative abundance of species with a bisecting GlcNAc within non-sialylated tetra-antennary glycans
A4FSB	Relative abundance of species with a bisecting GlcNAc within fucosylated sialylated tetra-antennary glycans
A4F0SB	Relative abundance of species with a bisecting GlcNAc within non-fucosylated sialylated tetra-antennary glycans
A4FS0B	Relative abundance of species with a bisecting GlcNAc within fucosylated non-sialylated tetra-antennary glycans
A4F0S0B	Relative abundance of species with a bisecting GlcNAc within non-fucosylated non-sialylated tetra-antennary glycans
A4LB	Relative abundance of species with a bisecting GlcNAc within a2,3-sialylated tetra-antennary glycans
A4L0B	Relative abundance of species with a bisecting GlcNAc within non-a2,3-sialylated tetra-antennary glycans
A4FLB	Relative abundance of species with a bisecting GlcNAc within fucosylated a2,3-sialylated tetra-antennary glycans
A4F0LB	Relative abundance of species with a bisecting GlcNAc within non-fucosylated a2,3-sialylated tetra-antennary glycans
A4FL0B	Relative abundance of species with a bisecting GlcNAc within fucosylated non-a2,3-sialylated tetra-antennary glycans
A4F0L0B	Relative abundance of species with a bisecting GlcNAc within non-fucosylated non-a2,3-sialylated tetra-antennary glycans
A4EB	Relative abundance of species with a bisecting GlcNAc within a2,6-sialylated tetra-antennary glycans
A4E0B	Relative abundance of species with a bisecting GlcNAc within non-a2,6-sialylated tetra-antennary glycans
A4FEB	Relative abundance of species with a bisecting GlcNAc within fucosylated a2,6-sialylated tetra-antennary glycans
A4F0EB	Relative abundance of species with a bisecting GlcNAc within non-fucosylated a2,6-sialylated tetra-antennary glycans
A4FE0B	Relative abundance of species with a bisecting GlcNAc within fucosylated non-a2,6-sialylated tetra-antennary glycans
A4F0E0B	Relative abundance of species with a bisecting GlcNAc within non-fucosylated non-a2,6-sialylated tetra-antennary glycans
CG	Average number of galactoses on complex glycans
CS	Average number of sialic acids on complex glycans
CL	Average number of α2,3-linked sialic acids on complex glycans
A1L	α2,3-sialylation per antenna within monoantennary glycans
A2L	α2,3-sialylation per antenna within diantennary glycans
A3L	α2,3-sialylation per antenna within triantennary glycans
A4L	α2,3-sialylation per antenna within tetra-antennary glycans
A1FL	α2,3-sialylation per antenna within fucosylated monoantennary glycans
A2FL	α2,3-sialylation per antenna within fucosylated diantennary glycans
A3FL	α2,3-sialylation per antenna within fucosylated triantennary glycans
A4FL	α2,3-sialylation per antenna within fucosylated tetra-antennary glycans
A1F0L	α2,3-sialylation per antenna within non-fucosylated monoantennary glycans
A2F0L	α2,3-sialylation per antenna within non-fucosylated diantennary glycans
A3F0L	α2,3-sialylation per antenna within non-fucosylated triantennary glycans
A4F0L	α2,3-sialylation per antenna within non-fucosylated tetra-antennary glycans
A1GL	α2,3-sialylation per galactose within monoantennary glycans
A2GL	α2,3-sialylation per galactose within diantennary glycans
A3GL	α2,3-sialylation per galactose within triantennary glycans
A4GL	α2,3-sialylation per galactose within tetra-antennary glycans
A1FGL	α2,3-sialylation per galactose within fucosylated monoantennary glycans
A2FGL	α2,3-sialylation per galactose within fucosylated diantennary glycans
A3FGL	α2,3-sialylation per galactose within fucosylated triantennary glycans
